Time,TradingStrategy,BuyAndHold
865,185315,192953
866,187610,196028
867,188228,197300
868,189598,198117
869,186280,195912
870,184130,193927
871,184250,194216
872,185608,195230
873,185985,196311
874,184954,195818
875,184949,195028
876,187219,196566
877,187227,196952
878,184015,194851
879,182000,193589
880,182050,193864
881,181003,192946
882,178925,190781
883,175469,188064
884,175623,188416
885,177438,189946
886,177577,190227
887,176421,189238
888,176728,189329
889,176733,189263
890,176000,189077
891,176228,189702
892,173531,188242
893,171675,186450
894,171057,185631
895,171716,186129
896,174761,189451
897,173479,188422
898,174929,188912
899,174780,187983
900,172943,186400
901,171502,185864
902,173113,186927
903,171681,186756
904,173564,188158
905,173184,188308
906,173430,188852
907,172968,187892
908,174132,189091
909,175029,190571
910,176418,191065
911,176332,190123
912,175841,189721
913,176347,189400
914,173963,187642
915,175012,188536
916,175984,189446
917,174089,188152
918,175477,189514
919,179373,192201
920,177648,190706
921,176397,189853
922,175720,189469
923,175325,188218
924,175986,188786
925,174625,188307
926,173589,187800
927,173190,188319
928,173841,188504
929,174494,188964
930,174884,189286
931,175893,190786
932,177834,193335
933,180128,194600
934,180949,195071
935,179705,193213
936,178523,192376
937,179275,192864
938,179567,192947
939,179754,194185
940,178660,193654
941,176699,192099
942,176309,191768
943,175524,190901
944,175429,190647
945,175820,191299
946,173886,189468
947,175112,189768
948,174279,189295
949,174782,189974
950,175126,190340
951,177225,192510
952,174986,190715
953,174734,190646
954,175168,190385
955,174816,190073
956,173531,188783
957,177946,192157
958,178065,192536
959,178121,192250
960,177225,192296
961,175663,191475
962,177360,192418
963,175490,191120
964,177471,192813
965,176475,191627
966,176268,191313
967,176155,190594
968,174462,189272
969,175883,190250
970,175972,190649
971,176376,190940
972,176575,190447
973,176388,190049
974,178214,191698
975,176318,190179
976,176177,189318
977,174930,188431
978,176405,189526
979,174767,187596
980,175806,188857
981,176699,189688
982,179286,191269
983,180045,192143
984,182392,194710
985,182089,194694
986,181517,194931
987,182860,195930
988,180492,193551
989,180049,192975
990,183301,196153
991,185172,196341
992,183305,194017
993,182774,193619
994,181069,192711
995,182551,193755
996,182326,193618
997,181627,193223
998,181057,193244
999,181062,193050
1000,182121,194513
